

TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)
64.04,9.76,33.30,43.05,5.69


42.33,8.13,63.06,53.96,5.21


59.25,0.71,51.11,54.45,0.00


54.46,2.27,58.68,41.41,6.65


49.09,12.43,41.93,66.36,0.55


53.05,6.12,52.87,46.82,5.21


56.06,5.17,48.62,51.89,2.16


51.06,4.37,58.86,46.60,3.71


42.43,27.73,38.00,42.67,3.71


52.26,4.90,50.40,54.15,6.18


54.27,2.25,54.24,53.21,1.10


55.02,5.36,47.11,53.23,2.69


41.49,16.75,52.96,47.42,2.69

54.89,8.29,42.86,53.25,1.63


47.89,1.88,63.26,53.12,1.10


53.65,6.81,52.88,42.44,0.00


62.29,1.91,31.20,62.13,12.38


56.79,1.40,54.03,46.10,0.00


49.15,6.80,50.20,55.80,4.22


57.13,2.86,49.94,45.99,2.16


47.21,6.45,59.26,44.53,3.20


59.15,2.31,46.82,42.34,6.65

48.86,14.26,39.13,53.15,4.22


50.11,4.15,54.99,47.43,3.71


48.02,4.04,51.43,53.36,11.13


